,,,,,,,,,
,8104,图表,tú biǎo,chart; diagram,10702,97648,"0,001148%", ,7–9
,8105,图像,tú xiàng,image; picture; graphic,3777,365399,"0,004294%", ,7–9
,8106,图形,tú xíng,picture; figure; diagram; graph; depiction; graphical,5809,212370,"0,002496%", ,7–9
,8107,图纸,tú zhǐ,blueprint; drawing; design plans; graph paper,10595,98981,"0,001163%", ,7–9
,8108,徒步,tú bù,to be on foot,11825,85187,"0,001001%", ,7–9
,8109,屠杀,tú shā,to massacre; massacre; bloodbath; carnage,9715,111064,"0,001305%", ,7–9
,8110,土匪,tǔ fěi,bandit,12676,77248,"0,000908%", ,7–9
,8111,土壤,tǔ rǎng,soil,3762,367203,"0,004316%",6,7–9
,8112,土生土长,tǔ shēng tǔ zhǎng,locally born and bred; indigenous; home-grown,24292,29461,"0,000346%", ,7–9
,8113,团伙,tuán huǒ,(criminal) gang; gang member; accomplice; crony,4816,272158,"0,003199%", ,7–9
,8114,团聚,tuán jù,to reunite; to have a reunion,10551,99457,"0,001169%", ,7–9
,8115,团员,tuán yuán,member; group member,9314,117072,"0,001376%", ,7–9
,8116,团圆,tuán yuán,to have a reunion,11878,84610,"0,000994%",6,7–9
,8117,推测,tuī cè,speculation; to conjecture; to surmise; to speculate,6910,172317,"0,002025%",6,7–9
,8118,推辞,tuī cí,"to decline (an appointment, invitation etc)",21946,34576,"0,000406%",5,7–9
,8119,推断,tuī duàn,to infer; to deduce; to predict; to extrapolate,10549,99469,"0,001169%", ,7–9
,8120,推翻,tuī fān,to overthrow,7735,149915,"0,001762%",6,7–9
,8121,推荐,tuī jiàn,to recommend; recommendation,366,3458502,"0,040647%",5,7–9
,8122,推理,tuī lǐ,reasoning; inference; to infer; to deduce,9124,120279,"0,001414%",6,7–9
,8123,推敲,tuī qiāo,to think over,20011,39886,"0,000469%", ,7–9
,8124,推算,tuī suàn,to calculate; to reckon; to extrapolate (in calculation),12647,77464,"0,000910%", ,7–9
,8125,推卸,tuī xiè,to avoid (esp. responsibility); to shift (the blame); to pass the buck,15714,57108,"0,000671%", ,7–9
,8126,推选,tuī xuǎn,to elect; to choose; to nominate,15298,59254,"0,000696%", ,7–9
,8127,推移,tuī yí,(of time) to elapse or pass; (of a situation) to develop or evolve,12238,81100,"0,000953%", ,7–9
,8128,颓废,tuí fèi,decadent; dispirited; depressed; dejected,11963,83779,"0,000985%", ,7–9
,8129,退回,tuì huí,to return (an item); to send back; to go back,9324,116866,"0,001374%", ,7–9
,8130,退却,tuì què,to retreat; to shrink back,24025,29965,"0,000352%", ,7–9
,8131,退让,tuì ràng,to move aside; to get out of the way; to back down; to concede,22331,33668,"0,000396%", ,7–9
,8132,退缩,tuì suō,to shrink back; to cower,13528,70509,"0,000829%", ,7–9
,8133,退休金,tuì xiū jīn,retirement pay; pension,19013,43054,"0,000506%", ,7–9
,8134,退学,tuì xué,to quit school,15769,56856,"0,000668%", ,7–9
,8135,退役,tuì yì,"to retire from the military, sport etc; to demobilize; to decommission; retired from use",5290,240755,"0,002830%", ,7–9
,8136,托付,tuō fù,to entrust,20061,39722,"0,000467%", ,7–9
,8137,拖累,tuō lěi,to encumber; to be a burden on; to implicate,11860,84824,"0,000997%", ,7–9
,8138,拖欠,tuō qiàn,in arrears; behind in payments; to default on one’s debts,5247,243586,"0,002863%", ,7–9
,8139,拖延,tuō yán,to delay; to put off; to procrastinate,7454,156903,"0,001844%",6,7–9
,8140,脱节,tuō jié,to come apart,15495,58228,"0,000684%", ,7–9
,8141,脱口而出,tuō kǒu ér chū,to blurt out; to let slip (an indiscreet remark),17685,48082,"0,000565%", ,7–9
,8142,脱落,tuō luò,to drop off; to come off; to lose (hair etc); to omit (a character when writing),7244,162214,"0,001906%", ,7–9
,8143,脱身,tuō shēn,to get away; to escape (from obligations); to free oneself; to disengage,16419,53600,"0,000630%", ,7–9
,8144,脱颖而出,tuō yǐng ér chū,to reveal one’s talent (idiom); to rise above others; to distinguish oneself,8538,131196,"0,001542%", ,7–9
,8145,妥当,tuǒ dang,appropriate; proper; ready,14598,63535,"0,000747%",6,7–9
,8146,妥善,tuǒ shàn,appropriate; proper,5274,242038,"0,002845%",6,7–9
,8147,妥协,tuǒ xié,to compromise; to reach terms; a compromise,6362,191092,"0,002246%",6,7–9
,8148,拓宽,tuò kuān,to broaden,5727,216380,"0,002543%", ,7–9
,8149,拓展,tuò zhǎn,to expand,3089,465908,"0,005476%", ,7–9
,8150,唾液,tuò yè,saliva,19918,40167,"0,000472%", ,7–9
,8151,挖掘,wā jué,to excavate; to dig; to unearth,3786,364357,"0,004282%",6,7–9
,8152,挖苦,wā kǔ,to speak sarcastically; to make cutting remarks,28617,22311,"0,000262%", ,7–9
,8153,歪曲,wāi qū,to distort; to misrepresent,14846,62019,"0,000729%",6,7–9
,8154,外表,wài biǎo,external; outside; outward appearance,4366,306410,"0,003601%",6,7–9
,8155,外公,wài gōng,(coll.) mother’s father; maternal grandfather,9855,108820,"0,001279%",5,7–9
,8156,外行,wài háng,layman; amateur,19696,40841,"0,000480%",6,7–9
,8157,外号,wài hào,nickname,14445,64476,"0,000758%", ,7–9
,8158,外籍,wài jí,foreign (i.e. of foreign nationality),8582,130318,"0,001532%", ,7–9
,8159,外贸,wài mào,foreign trade,3844,357598,"0,004203%", ,7–9
,8160,外貌,wài mào,profile; appearance,13138,73627,"0,000865%", ,7–9
,8161,外婆,wài pó,(coll.) mother’s mother; maternal grandmother,5663,219520,"0,002580%", ,7–9
,8162,外企,wài qǐ,"foreign enterprise; company established in mainland China with direct investment from foreign entities or from investors in Taiwan, Macao or Hong Kong; abbr. for 外資企業|外资企业",12608,77763,"0,000914%", ,7–9
,8163,外星人,wài xīng rén,space alien; extraterrestrial,10460,100598,"0,001182%", ,7–9
,8164,外形,wài xíng,figure; shape; external form; contour,4381,305539,"0,003591%", ,7–9
,8165,外援,wài yuán,external help; foreign aid,4521,293329,"0,003447%", ,7–9
,8166,完备,wán bèi,faultless; complete; perfect; to leave nothing to be desired,9419,115546,"0,001358%",6,7–9
,8167,完毕,wán bì,to finish; to end; to complete,3215,444342,"0,005222%",6,7–9
,8168,完蛋,wán dàn,(coll.) to be done for,12194,81526,"0,000958%", ,7–9
,8169,完好,wán hǎo,intact; in good condition,11021,94126,"0,001106%", ,7–9
,8170,玩耍,wán shuǎ,to play (as children do); to amuse oneself,9150,119930,"0,001410%", ,7–9
,8171,玩意儿,wán yì r,erhua variant of 玩意[wán yì],11172,92328,"0,001085%",6,7–9
,8172,顽固,wán gù,stubborn; obstinate,13097,74005,"0,000870%",6,7–9
,8173,挽回,wǎn huí,to retrieve; to redeem,6789,176193,"0,002071%",6,7–9
,8174,挽救,wǎn jiù,to save; to remedy; to rescue,7273,161219,"0,001895%",6,7–9
,8175,晚间,wǎn jiān,evening; night,7423,157670,"0,001853%", ,7–9
,8176,晚年,wǎn nián,one’s later years,9975,107204,"0,001260%", ,7–9
,8177,晚期,wǎn qī,later period; end stage; terminal,6932,171702,"0,002018%", ,7–9
,8178,惋惜,wǎn xī,to regret; to feel that it is a great pity; to feel sorry for sb,12361,80019,"0,000940%",6,7–9
,8179,万分,wàn fēn,very much; extremely; one ten thousandth part,6126,199797,"0,002348%",6,7–9
,8180,万古长青,wàn gǔ cháng qīng,remain fresh; last forever; eternal,66154,4382,"0,000052%", ,7–9
,8181,万能,wàn néng,omnipotent; all-purpose; universal,7603,152968,"0,001798%", ,7–9
,8182,万万,wàn wàn,absolutely; wholly,—,—,—, ,7–9
,8183,万无一失,wàn wú yì shī,surefire; absolutely safe (idiom),22175,34035,"0,000400%", ,7–9
,8184,汪洋,wāng yáng,vast body of water,14960,61221,"0,000720%", ,7–9
,8185,亡羊补牢,wáng yáng bǔ láo,lit. to mend the pen after sheep are lost (idiom); fig. to act belatedly; better late than never; to lock the stable door after the horse has bolted,36592,14601,"0,000172%", ,7–9
,8186,王国,wáng guó,kingdom; realm,6828,174852,"0,002055%", ,7–9
,8187,王牌,wáng pái,trump card,13529,70506,"0,000829%", ,7–9
,8188,网点,wǎng diǎn,node in a network; branch; website,3933,347886,"0,004089%", ,7–9
,8189,网民,wǎng mín,web user; netizen,4495,294783,"0,003465%", ,7–9
,8190,往常,wǎng cháng,habitually (in the past); as one used to do formerly; as it used to be,10455,100664,"0,001183%",6,7–9
,8191,往返,wǎng fǎn,to go back and forth; to go to and fro; round trip,7638,152094,"0,001788%",5,7–9
,8192,往日,wǎng rì,former days; the past,9511,114044,"0,001340%", ,7–9
,8193,往事,wǎng shì,past events; former happenings,5373,235649,"0,002770%",6,7–9
,8194,妄想,wàng xiǎng,to attempt vainly; a vain attempt; delusion,12018,83157,"0,000977%",6,7–9
,8195,忘不了,wàng bu liǎo,cannot forget,—,—,—, ,7–9
,8196,忘掉,wàng diào,to forget,9363,116385,"0,001368%", ,7–9
,8197,旺季,wàng jì,busy season; peak period; see also 淡季[dàn jì],8224,138048,"0,001622%", ,7–9
,8198,旺盛,wàng shèng,vigorous; exuberant,6118,200106,"0,002352%", ,7–9
,8199,望远镜,wàng yuǎn jìng,binoculars; telescope,10052,105947,"0,001245%", ,7–9
,8200,危及,wēi jí,"to endanger; to jeopardize; a danger (to life, national security etc)",10696,97700,"0,001148%", ,7–9
,8201,危急,wēi jí,critical; desperate (situation),11842,84953,"0,000998%", ,7–9
,8202,威风,wēi fēng,might; awe-inspiring authority; impressive,16136,55095,"0,000648%",6,7–9
,8203,威力,wēi lì,might; formidable power,4736,277573,"0,003262%",6,7–9
,8204,威慑,wēi shè,to cower by military force; deterrence,19766,40626,"0,000477%", ,7–9
,8205,威信,wēi xìn,prestige; reputation; trust; credit with the people,14588,63597,"0,000747%",6,7–9
,8206,微不足道,wēi bù zú dào,negligible; insignificant,14481,64270,"0,000755%",6,7–9
,8207,微观,wēi guān,micro-; subatomic,9004,122225,"0,001436%",6,7–9
,8208,微妙,wēi miào,subtle,8386,134465,"0,001580%", ,7–9
,8209,微弱,wēi ruò,weak; faint; feeble,9042,121422,"0,001427%", ,7–9
,8210,微型,wēi xíng,miniature; micro-; tiny,9744,110657,"0,001301%", ,7–9
,8211,为人,wéi rén,to conduct oneself; behavior; conduct; personal character,3765,367111,"0,004315%", ,7–9
,8212,违背,wéi bèi,to go against; to be contrary to; to violate,5560,224648,"0,002640%",6,7–9
,8213,违约,wéi yuē,to break a promise; to violate an agreement; to default (on a loan or contract),8926,123673,"0,001454%", ,7–9
,8214,违章,wéi zhāng,to break the rules; to violate regulations,6701,179130,"0,002105%", ,7–9
,8215,围墙,wéi qiáng,perimeter wall; fence,9149,119945,"0,001410%", ,7–9
,8216,唯独,wéi dú,only; just (i.e. it is only that…); all except; unique,—,—,—,6,7–9
,8217,伪造,wěi zào,to forge; to fake; to counterfeit,6937,171563,"0,002016%",6,7–9
,8218,伪装,wěi zhuāng,to pretend to be (asleep etc); to disguise oneself as; pretense; disguise; (military) to camouflage; camouflage,6950,171036,"0,002010%", ,7–9
,8219,尾气,wěi qì,exhaust (i.e. waste gas from engine); emissions,14478,64276,"0,000755%", ,7–9
,8220,尾声,wěi shēng,coda; epilogue; end,11106,93058,"0,001094%", ,7–9
,8221,纬度,wěi dù,latitude,28530,22436,"0,000264%", ,7–9
,8222,委屈,wěi qu,to feel wronged; to cause sb to feel wronged; grievance,3737,370516,"0,004355%",5,7–9
,8223,委婉,wěi wǎn,tactful; euphemistic; (of voice etc) suave; soft,17058,50641,"0,000595%", ,7–9
,8224,委员,wěi yuán,committee member; committee; council,1408,1073224,"0,012614%",6,7–9
,8225,委员会,wěi yuán huì,committee,692,2091097,"0,024576%", ,7–9
,8226,萎缩,wěi suō,"to wither; to dry up (of a plant); to atrophy (of muscle, social custom etc)",5133,250647,"0,002946%", ,7–9
,8227,卫视,wèi shì,satellite TV (abbr. for 衛星電視|卫星电视[wèi xīng diàn shì]),8116,140686,"0,001653%", ,7–9
,8228,未成年人,wèi chéng nián rén,minor (i.e. person under 18),5839,211138,"0,002481%", ,7–9
,8229,未经,wèi jīng,not having undergone; without (having gone though a certain process),4036,335391,"0,003942%", ,7–9
,8230,未免,wèi miǎn,unavoidably; can’t help; really; rather,10436,100963,"0,001187%",6,7–9
,8231,未知数,wèi zhī shù,unknown quantity,17128,50380,"0,000592%", ,7–9
,8232,位子,wèi zi,place; seat,10546,99537,"0,001170%", ,7–9
,8233,味精,wèi jīng,monosodium glutamate (MSG),11956,83848,"0,000985%", ,7–9
,8234,畏惧,wèi jù,to fear; to dread; foreboding,11273,91261,"0,001073%",6,7–9
,8235,畏缩,wèi suō,to cower; to flinch; to quail; to recoil,42996,10765,"0,000127%", ,7–9
,8236,胃口,wèi kǒu,appetite; liking,7227,162751,"0,001913%",5,7–9
,8237,喂养,wèi yǎng,"to feed (a child, domestic animal etc); to keep; to raise (an animal)",10174,104506,"0,001228%", ,7–9
,8238,慰劳,wèi láo,"to show appreciation (by kind words, small gifts etc); to comfort",31381,19095,"0,000224%", ,7–9
,8239,温度计,wēn dù jì,thermometer; thermograph,31066,19421,"0,000228%", ,7–9
,8240,温泉,wēn quán,hot spring; spa; onsen,5266,242356,"0,002848%", ,7–9
,8241,温柔,wēn róu,gentle and soft; tender,2406,608493,"0,007152%",5,7–9
,8242,温室,wēn shì,greenhouse,10477,100443,"0,001180%", ,7–9
,8243,温习,wēn xí,to review (a lesson etc),31320,19152,"0,000225%", ,7–9
,8244,温馨,wēn xīn,comfort; soft and fragrant; warm,3129,459043,"0,005395%", ,7–9
,8245,瘟疫,wēn yì,epidemic; plague; pestilence; diseased,24424,29197,"0,000343%", ,7–9
,8246,文具,wén jù,"stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc)",15802,56705,"0,000666%",5,7–9
,8247,文科,wén kē,liberal arts; humanities,9890,108364,"0,001274%", ,7–9
,8248,文盲,wén máng,illiterate,13590,70014,"0,000823%", ,7–9
,8249,文凭,wén píng,diploma,10098,105408,"0,001239%",6,7–9
,8250,文人,wén rén,scholar; literati,10773,96973,"0,001140%", ,7–9
,8251,文物,wén wù,cultural relic; historical relic,2502,581836,"0,006838%",6,7–9
,8252,文献,wén xiàn,document,2776,523265,"0,006150%",6,7–9
,8253,文雅,wén yǎ,elegant; refined,26240,25940,"0,000305%",6,7–9
,8254,闻名,wén míng,well-known; famous; renowned; eminent,8667,128475,"0,001510%", ,7–9
,8255,蚊帐,wén zhàng,mosquito net,31641,18843,"0,000221%", ,7–9
,8256,蚊子,wén zi,mosquito,7558,154081,"0,001811%", ,7–9
,8257,吻合,wěn hé,to be a good fit; to be identical with; to adjust oneself to; to fit in,5203,246397,"0,002896%", ,7–9
,8258,紊乱,wěn luàn,disorder; chaos,7738,149834,"0,001761%", ,7–9
,8259,稳固,wěn gù,stable; steady; firm; to stabilize,10748,97133,"0,001142%", ,7–9
,8260,稳健,wěn jiàn,firm; stable and steady,6153,198522,"0,002333%", ,7–9
,8261,稳妥,wěn tuǒ,dependable,10905,95415,"0,001121%", ,7–9
,8262,稳重,wěn zhòng,steady; earnest; staid,9903,108243,"0,001272%", ,7–9
,8263,问卷,wèn juàn,questionnaire,7024,169038,"0,001987%", ,7–9
,8264,问世,wèn shì,to be published; to come out,8501,131934,"0,001551%",6,7–9
,8265,污秽,wū huì,nasty; sordid; filthy,33092,17462,"0,000205%", ,7–9
,8266,巫婆,wū pó,witch; sorceress; female shaman,26603,25319,"0,000298%", ,7–9
,8267,呜咽,wū yè,to sob; to whimper,33152,17396,"0,000204%", ,7–9
,8268,屋顶,wū dǐng,roof,6908,172379,"0,002026%", ,7–9
,8269,无比,wú bǐ,incomparable; matchless,2485,586168,"0,006889%",6,7–9
,8270,无不,wú bù,none lacking; none missing; everything is there; everyone without exception,5577,224250,"0,002636%", ,7–9
,8271,无偿,wú cháng,free; no charge; at no cost,6498,186667,"0,002194%",6,7–9
,8272,无敌,wú dí,unequalled; without rival; a paragon,4624,285465,"0,003355%", ,7–9
,8273,无恶不作,wú è bú zuò,not to shrink from any crime (idiom); to commit any imaginable misdeed,45876,9471,"0,000111%", ,7–9
,8274,无非,wú fēi,only; nothing else,7104,166694,"0,001959%",6,7–9
,8275,无辜,wú gū,innocent; innocence; not guilty (law),6145,198867,"0,002337%",6,7–9
,8276,无故,wú gù,without cause or reason,18447,45093,"0,000530%", ,7–9
,8277,无关紧要,wú guān jǐn yào,indifferent; insignificant,21032,36930,"0,000434%", ,7–9
,8278,无话可说,wú huà kě shuō,to have nothing to say (idiom),17148,50281,"0,000591%", ,7–9
,8279,无济于事,wú jì yú shì,to no avail; of no use,19817,40470,"0,000476%", ,7–9
,8280,无家可归,wú jiā kě guī,homeless,21993,34458,"0,000405%", ,7–9
,8281,无精打采,wú jīng dǎ cǎi,dispirited and downcast (idiom); listless; in low spirits; washed out,29217,21514,"0,000253%",6,7–9
